t,cpu_pct,perf_pct,mhz,tx_MBps,rx_MBps
1.30,3.66,91.01,1,696,0.0,0.0
2.37,3.39,117.68,1,696,0.0,0.0
177.31,17.73,163.12,1,696,1,819.0,1.8
178.32,14.54,171.25,1,696,1,861.5,1.9
179.33,11.41,173.31,1,696,1,761.3,1.7
180.35,11.33,179.86,1,696,1,872.9,1.9
181.36,9.24,181.48,1,696,1,841.5,1.8
182.38,8.95,180.47,1,696,1,884.7,1.9
183.39,14.31,144.94,1,696,875.3,0.9
184.40,8.68,68.60,1,696,0.0,0.0
185.42,7.94,137.76,1,696,0.0,0.0
186.45,1.72,85.14,1,696,0.0,0.0
187.45,4.93,82.76,1,696,0.0,0.0
188.46,10.82,89.28,1,696,0.0,0.0
189.47,8.47,102.33,1,696,0.0,0.0
190.48,16.79,152.26,1,696,0.0,0.0
